Madam Speaker|| tim, food, public
<|endoftext|>|| represented, bent, justice
Mr. Speaker|| act, mother, figure
Mr. Speaker|| national, yield, foundation
Mr. Speaker|| george, bush, yea
Mr. Speaker|| stand, marriage, speaker
<|endoftext|>|| policies, hear, economic
Mr. Speaker|| colleague, yielding, chairman
Madam Speaker|| vulnerable, workers, madam
Mr. Speaker|| detainees, united, administration
Mr. Speaker|| republican, wage, pay
<|endoftext|>|| vice, balance, versa
Mr. Speaker|| indiana, floor, coming
Mr. President|| representatives, telehealth, family
Mr. Speaker|| larger, idea, pollution
Mr. Speaker|| today, congress, lives
Mr. Speaker|| extraneous, utah, gentleman
<|endoftext|>|| anger, virulent, security
<|endoftext|>|| journal, hospital, support
<|endoftext|>|| massachusetts, show, fit
Madam Speaker|| gordon, provisions, commercialization
Mr. Speaker|| fisa, bill, intelligence
Mr. President|| year, students, finalist
<|endoftext|>|| drug, support, devices
Mr. President|| dependents, senator, correctly
Madam Speaker|| impeachment, speaker, select
Mr. Chairman|| funding, budget, drug
<|endoftext|>|| families, senior, citizens
Mr. President|| time, motion, bill
<|endoftext|>|| army, armed, services
Mr. President|| budget, cornyn, approached
Mr. Speaker|| talk, high, speaker
<|endoftext|>|| record, cost, act
Mr. President|| unanimous, education, move
Madam President|| bloc, consent, president
Mr. President|| legislation, issue, amendment
Mr. President|| agencies, state, percent
Mr. Chairman|| section, program, areas
Mr. Speaker|| represents, headlines, beneath
Mr. President|| opportunity, purpose, federal
<|endoftext|>|| assassinations, bet, involving
Mr. President|| begin, vote, period
Mr. Speaker|| answer, retirees, inquiry
Mr. President|| items, american, regime
Mr. Speaker|| medicare, rate, member
Mr. Speaker|| information, dhs, cyber
Mr. President|| touch, president, american
<|endoftext|>|| data, colin, times
Mr. Speaker|| subcommittee, speaker, crime
Mr. President|| modifications, coast, president
Mr. Speaker|| section, fair, traficant
Mr. Chairman|| amendment, announced, time
Mr. Speaker|| resolution, house, virginia
Mr. Speaker|| bill, stepladder, consumers
Madam Speaker|| bills, time, veterans
Mr. Chairman|| amendment, thing, americans
Mr. Chairman|| provide, jordan, baghdad
Mr. Speaker|| concerns, speaker, passed
Madam President|| pennsylvania, pensions, madam
Mr. Speaker|| consent, unanimous, objection
<|endoftext|>|| vital, lake, gentleman
<|endoftext|>|| senior, date, member
<|endoftext|>|| committee, stay, toomey
<|endoftext|>|| side, 12:25, senator
Mr. Speaker|| individuals, americans, current
Mr. Speaker|| washington, table, hansen
Mr. Chairman|| moved, committee, allowed
Mr. Speaker|| california, cuts, democrats
<|endoftext|>|| made, retirees, retiree
Mr. Speaker|| speaker, peru, trade
Madam Speaker|| washington, fact, senator
Mr. Chairman|| louisiana, aid, foreign
Mr. President|| walsh, act, years
Mr. Speaker|| house, tuesday, adjourn
Madam President|| president, reid, year
Mr. Speaker|| yeas, rule, postponed
Mr. Chairman|| chairman, presence, war
Mr. Speaker|| confers, chair, pro
Mr. President|| hatfield, courage, balanced
Madam Speaker|| consideration, nay, availability
Mr. President|| million, act, children
Mr. President|| senators, amendment, secretariat
Mr. President|| hearing, senate, tuesday
Mr. Speaker|| indictment, documents, single
Mr. Speaker|| plan, today, rate
Mr. President|| understanding, tonight, colleague
<|endoftext|>|| medical, important, alternative
Mr. Speaker|| hearing, life, burgess
<|endoftext|>|| amendment, specifically, simply
Mr. President|| western, conley, years
Mr. Speaker|| self-determination, contracts, organizations
Mr. Speaker|| increase, tremendous, argue
Mr. Speaker|| committee, honda, americans
Mr. Chairman|| national, science, based
Mr. Speaker|| million, controlled, ago
Mr. Speaker|| war, gentleman, yielding
<|endoftext|>|| carrier, care, debate
Mr. President|| issues, july, pending
Mr. Chairman|| chairman, congress, advanced
Mr. Speaker|| resolution, emergency, states
<|endoftext|>|| war, billion, senator
Mr. President|| unanimous, judiciary, time
<|endoftext|>|| popular, economically, paul
Mr. President|| hawaii, work, federal
Mr. President|| senator, collins, expects
Mr. President|| judiciary, federal, kanka
Mr. President|| vote, desk, threshold
Mr. Chairman|| million, percent, youth
<|endoftext|>|| fact, insists, time
Mr. Speaker|| states, reauthorization, support
Mr. President|| congress, defense, funding
Mr. President|| transformation, early, learning
Mr. Speaker|| cut, taking, compassion
Mr. Speaker|| states, united, enlisted
Mr. President|| small, wyoming, business
Mr. Speaker|| americans, united, diseases
Mr. Speaker|| state, highway, repairs
Mr. Speaker|| high, house, crew
Mr. President|| nsf, congress, amendment
Mr. President|| tomorrow, yielding, americans
<|endoftext|>|| palestinian, goldstone, gaza
Mr. President|| put, marquis, lafayette
Mr. Speaker|| red, issue, education
<|endoftext|>|| people, congress, senator
Mr. President|| senators, business, members
<|endoftext|>|| understand, municipalities, portion
<|endoftext|>|| locks, account, importance
<|endoftext|>|| grateful, hard, chairman
Mr. President|| energy, part, change
Madam Speaker|| speaker, made, women
<|endoftext|>|| suspension, pro, considered
<|endoftext|>|| american, demarcation, dividing
Mr. President|| rosa, president, act
Madam Speaker|| promptly, relief, insurance
Mr. Speaker|| tempore, motion, question
Mr. President|| acting, schedule, leader
<|endoftext|>|| requirements, simple, respond
Mr. President|| yield, tax, savings
Mr. President|| bad, administration, solution
<|endoftext|>|| people, work, government
Mr. Speaker|| back, tempore, move
Mr. Speaker|| fuel, nuclear, colleagues
Mr. Speaker|| medical, texas, freshman
<|endoftext|>|| chair, time, talk
Mr. Chairman|| food, assertion, make
Mr. President|| senator, senate, today
Mr. President|| amendments, levin, desk
Mr. President|| budget, senator, yield
<|endoftext|>|| completed, presentation, gentleman
Mr. President|| force, service, commemorate
<|endoftext|>|| rate, hired, job
Mr. Chairman|| ensure, provisions, funds
<|endoftext|>|| washington, expired, title
Mr. Chairman|| provisions, supplemental, congress
<|endoftext|>|| basics, work, kids
Mr. Chair|| land, national, jobs
Madam Speaker|| house, region, jewish
<|endoftext|>|| chairman, act, affairs
Mr. Speaker|| index, options, election
Mr. President|| legislative, study, marketing
Mr. Speaker|| democratic, year, providing
Mr. President|| agreed, today, unanimous
Mr. Chairman|| gentleman, office, make
Mr. Speaker|| kolbe, service, house
Mr. President|| discuss, senator, chairman
Mr. President|| week, bipartisan, report
Mr. President|| death, disability, department
Mr. President|| howell, judge, senate
Mr. Chairman|| time, ago, chairman
Mr. Chairman|| gentleman, interpretation, existing
Mr. Speaker|| puts, people, colonial
Mr. Speaker|| federal, house, equity
Mr. President|| person, people, director
Mr. President|| president, eighty-one, hundred
<|endoftext|>|| developing, law, laws
Madam President|| requested, disagree, authorized
Mr. President|| secretary, standards, health
Mr. Speaker|| democratic, proposal, speaker
Mr. Chairman|| member, republican, gentleman
<|endoftext|>|| oklahoma, ago, frankly
Mr. President|| defense, policies, receive
Mr. Chairman|| indiana, things, unavoidable
Mr. President|| earl, congratulate, fame
Mr. President|| house, quickly, kennedy
<|endoftext|>|| wyoming, chafee, efforts
Mr. Speaker|| record, congress, automatically
<|endoftext|>|| continue, inquiry, straight
Mr. Speaker|| bill, three-fifths, tax
Madam Chairman|| women, children, chairman
<|endoftext|>|| question, supreme, senate
<|endoftext|>|| jump, bill, uncertainty
Mr. President|| billion, cochran, market
Mr. Speaker|| reform, regulations, house
Madam President|| process, madam, support
<|endoftext|>|| white, house, inside
Mr. Chairman|| waste, jurisdictions, bill
Mr. Speaker|| national, services, resources
Mr. Chairman|| money, brac, increase
Mr. Speaker|| army, corps, fleeting
<|endoftext|>|| germane, board, advisory
<|endoftext|>|| great, important, held
Madam Speaker|| resolution, miller, member
<|endoftext|>|| vested, colleagues, unwilling
Mr. Chairman|| private, administration, work
Mr. President|| simple, california, gas
Mr. Speaker|| killed, back, oklahoma
Madam President|| amendment, setting, questions
<|endoftext|>|| consumer, europe, capability
Mr. President|| committee, encourage, trash
<|endoftext|>|| estimated, accurate, chart
Mr. Chairman|| boating, rules, recreational
Mr. President|| senator, ohio, priority
Mr. Chairman|| urge, appropriations, bill
Mr. President|| president, objection, 8:14
<|endoftext|>|| boccieri, energy, bill
Mr. President|| interest, development, continued
Mr. Speaker|| single, called, bad
Mr. Chairman|| national, intelligence, chairman
Mr. President|| senator, dadt, staff
<|endoftext|>|| act, president, reelected
Mr. Speaker|| act, frivolous, speaker
Mr. Chairman|| limits, resolution, people
Mr. Speaker|| american, order, privilege
<|endoftext|>|| structured, support, discussed
Mr. President|| barbara, care, robert
Mr. President|| service, january, decatur
Mr. Speaker|| balloon, soldiers, americans
Mr. President|| instruct, conferees, put
<|endoftext|>|| pyramid, employees, wide
Mr. Speaker|| speaker, bill, oil
Mr. President|| families, cesar, president
Mr. President|| beacon, block, point
Mr. Chairman|| evans, kennedy, chairman
Mr. Speaker|| department, call, paralyze
Mr. President|| program, president, member
Mr. President|| work, reports, president
Madam Speaker|| washington, partners, department
<|endoftext|>|| business, pledge, consent
Mr. President|| legislation, include, stakeholders
Mr. Chair|| debt, trump, chamber
Mr. President|| senator, rising, amendment
Mr. Chairman|| nation, amendment, pollination
Mr. President|| military, training, construction
Mr. President|| perfecting, makes, accept
Mr. Speaker|| interior, committee, afternoon
<|endoftext|>|| bit, question, immunity
<|endoftext|>|| aware, portions, staff
Madam Speaker|| care, madam, health
Mr. President|| appointment, usa, schoomaker
Mr. Speaker|| york, pleased, legislation
<|endoftext|>|| important, commercial, colleagues
Mr. Speaker|| florida, bill, serve
<|endoftext|>|| cables, reports, cia
Mr. Speaker|| gentleman, broke, things
Mr. Speaker|| based, speaker, plans
Mr. Chair|| change, emissions, point
Mr. President|| damages, amendment, shippers
<|endoftext|>|| top, working, ensuring
Mr. President|| intervening, debate, record
Mr. Chairman|| state, people, amendment
Mr. Speaker|| taxes, services, heard
Mr. President|| shows, learned, informed
<|endoftext|>|| thing, committee, wanting
Mr. President|| positive, church, program
Mr. President|| special, heard, language
Mr. President|| matter, olympia, senate
Mr. President|| address, powerful, work
<|endoftext|>|| important, shelter, medical
Mr. Chair|| effect, water, pipeline
Madam Chairman|| waste, control, constituents
Mr. Speaker|| insists, assistance, operating
Madam President|| belarus, authoritarianism, ice
<|endoftext|>|| transportation, infrastructure, private
Mr. Speaker|| veto, gentleman, debate
<|endoftext|>|| expanded, supported, present
Mr. Speaker|| standard, nursing, side
Mr. President|| session, authorized, building
Mr. President|| life, president, remarkable
<|endoftext|>|| things, bring, happy
Mr. Chairman|| yield, make, amendments
<|endoftext|>|| amendment, gun, author
<|endoftext|>|| qualify, resource, critical
Mr. President|| unanimous, 5:40, divided
<|endoftext|>|| lsu, tigers, congress
Mr. President|| questions, administration, friend
<|endoftext|>|| imf, crisis, debt
Mr. President|| hearing, circle, fbi
Mr. President|| founders, judges, impartially
Mr. President|| banking, senate, meet
Mr. President|| works, consent, hearing
Madam Chairman|| schip, money, spending
Mr. Speaker|| serves, county, holland
Mr. Speaker|| coalition, american, operation
Mr. Speaker|| democracy, iraqi, america
Mr. President|| energy, turbines, rise
Mr. President|| winchester, company, industry
<|endoftext|>|| natural, support, day
Mr. President|| expired, leader, june
Mr. Speaker|| remember, telephone, whispers
Mr. Speaker|| iraq, members, mrs.
Mr. Speaker|| fisheries, torkildsen, government
<|endoftext|>|| faith, working, informed
Mr. Chairman|| aye, voted, present
Mr. Speaker|| extraneous, objection, remarks
Madam President|| consent, adjourned, order
Mr. President|| hearing, session, unanimous
Mr. President|| ben, greenspan, risk
Madam Speaker|| objection, request, legislative
Mr. President|| earmark, international, march
<|endoftext|>|| consent, portion, gentleman
Madam President|| medicare, act, medicaid
Mr. President|| majority, distinguished, law
Mr. President|| foreign, senator, antiterrorism
Mr. Speaker|| gentleman, struggling, speaker
<|endoftext|>|| rate, things, money
Mr. President|| hall, today, david
Mr. President|| levin, leahy, amendment
Mr. Speaker|| today, speaker, house
Mr. Speaker|| week, question, time
Mr. Speaker|| support, keith, specialist
Mr. Chairman|| california, problem, working
<|endoftext|>|| past, good, body
Mr. President|| competition, activities, nation
<|endoftext|>|| gentleman, economy, issues
<|endoftext|>|| budget, million, national
Mr. President|| years, thought, limit
Mr. Speaker|| speaker, nation, permitting
Mr. President|| state, honor, rise
<|endoftext|>|| reserved, amendments, discussed
Mr. Chairman|| chairman, enforcement, federal
Madam President|| passes, unanimous, hughes
Madam President|| program, foreign, years
Mr. Speaker|| safe, water, federal
Mr. President|| louisiana, veteran, world
<|endoftext|>|| transportation, state, services
Mr. President|| cost, senator, consumers
<|endoftext|>|| surface, transportation, gentleman
Mr. Speaker|| debate, pending, purpose
Mr. Speaker|| merits, billion, strange
Madam President|| farmers, farm, state
Mr. Chairman|| renewable, interior, development
Mr. President|| quality, working, early
Mr. President|| work, friend, full
Mr. Chairman|| department, enter, phone
Madam Speaker|| mabus, ray, eventually
Mr. Chairman|| important, department, navy
Mr. President|| louisiana, turn, taxes
Mr. President|| business, tax, adds
Mr. Speaker|| stumbling, speaker, bill
Mr. President|| food, dairy, senator
Mr. Speaker|| office, family, leader
Mr. Speaker|| complete, bill, support
<|endoftext|>|| guy, son, trail
Mr. Speaker|| speech, today, free
Madam Speaker|| texas, committee, motion
Mr. Speaker|| child, tax, married
Mr. Chairman|| amendment, members, couple
Mr. Speaker|| strong, dire, dolly
Mr. Chairman|| member, final, spratt
Madam Speaker|| side, yield, debate
<|endoftext|>|| playing, stature, prowess
<|endoftext|>|| consuls, jurisdiction, supreme
Mr. Speaker|| unanimous, gentleman, objection
Mr. President|| bill, senate, agree
Mr. Speaker|| russia, forces, world
Mr. Speaker|| speaker, bill, provisions
Madam Speaker|| long, cancer, women
<|endoftext|>|| unwinding, question, banking
Mr. President|| war, thursday, hearing
<|endoftext|>|| dividend, phrase, credit
<|endoftext|>|| islamophobic, deeply, hiding
Mr. Speaker|| active, chris, protections
Mr. President|| cochran, year, years
Madam President|| deficit, farmers, farm
Mr. Speaker|| yielding, testament, support
Mr. Chairman|| pay, fiscal, doe
Madam President|| consent, president, june
Madam President|| july, clinton, today
Mr. Chairman|| nonpoint, matters, chairman
<|endoftext|>|| higher, order, result
Mr. Chairman|| put, acquisition, proposed
Mr. Speaker|| cold, home, massachusetts
Madam Speaker|| usps, house, member
Mr. Chairman|| pell, today, all-time
Mr. Speaker|| aid, act, interests
Mr. President|| financial, fee, prohibits
Mr. President|| majority, floor, president
Madam Speaker|| gentlewoman, nafta, america
Mr. Speaker|| yield, gentleman, recognize
<|endoftext|>|| investment, estuaries, committee
Mr. President|| president, defense, community
Mr. President|| united, china, republican
Madam President|| bill, care, access
Mr. Speaker|| material, bill, extend
Mr. Speaker|| concerned, society, bill
Mr. President|| acts, peace, palestinians
Mr. Speaker|| martin, reform, fighting
Mr. Speaker|| nolan, storm, barbeque
Madam Speaker|| north, education, saturday
Mr. President|| honest, article, exceed
Mr. President|| address, congress, leader
Mr. President|| designating, passed, consideration
Mr. Speaker|| support, long-term, chairman
Mr. President|| calendar, accountability, amend
<|endoftext|>|| independence, counsel, pointed
Madam Speaker|| amount, employees, madam
Mr. President|| journal, completes, stand
<|endoftext|>|| people, time, congressional
Mr. Speaker|| time, growth, congress
<|endoftext|>|| gentlewoman, addressed, bordallo
Mr. Speaker|| barriers, insurance, coastal
<|endoftext|>|| paul, record, members
Mr. Speaker|| thrive, manufacturing, history
Mr. Speaker|| house, committee, considered
<|endoftext|>|| yielding, ryan, big
Mr. President|| federal, states, act
Mr. Speaker|| house, committee, staff
Madam President|| drug, amendment, cbo
<|endoftext|>|| hand, country, work
Mr. President|| enhance, contribution, president
Mr. Speaker|| commitment, life, evident
Mr. Speaker|| state, public, speaker
Mr. President|| amendment, states, time
Mr. Speaker|| fallen, department, condolences
Mr. Speaker|| deal, time, gentleman
Mr. Chairman|| argue, welfare, corporate
<|endoftext|>|| friday, consideration, business
Mr. Chairman|| homelessness, harris, authority
Madam Speaker would like to voice my strong support for S. 252.  As a cosponsor of the House-introduced version of this bill|| college, strong, speaker
Mr. Speaker|| reality, elder, dreams
Mr. Speaker|| efforts, alaska, pombo
Mr. Speaker|| hold, hard, crimes
<|endoftext|>|| step, spur, bill
Mr. President|| california, administration, create
Mr. Chairman|| energy, transportation, safety
<|endoftext|>|| mentioned, indiana, items
Mr. Chairman|| poverty, correct, rehberg
Mr. President|| costs, industry, victims
Mr. Speaker|| cuts, america, percent
<|endoftext|>|| items, votes, judgment
Madam Speaker|| days, madam, extend
<|endoftext|>|| interpreted, pay, july
Mr. President|| authorization, amendments, members
Mr. Leader|| worked, wanted, situation
Mr. Speaker|| laid, table, passed
<|endoftext|>|| vision, wonderful, fought
Mr. Speaker|| jewish, town, louisville
Mr. President|| desk, relating, read
Mr. President|| duggan, abigail, consent
Mr. Speaker|| time, yield, tribes
<|endoftext|>|| export, senator, rosoboronexport
Madam Speaker|| enlisted, commemorate, recognize
Mr. Chairman|| county, gentleman, reasons
Mr. Speaker|| sale, bill, home
Madam Speaker|| kenneth, veterans, stations
Mr. President|| supply, president, sources
Madam Speaker|| prime, benefits, netanyahu
<|endoftext|>|| chairman, trade, guantanamo
Mr. Chairman|| somatic, child, petri
Mr. President|| cove, fire, chapel
Mr. Chairman|| person, proceed, gentleman
Mr. Chairman|| program, states, statute
Mr. Speaker|| administration, lamar, washington
Mr. Speaker|| california, balance, motion
Madam President|| floor, people, story
Mr. Chairman|| discretion, long, move
Mr. President|| association, project, milarch
<|endoftext|>|| amendments, ample, opportunity
Mr. President|| constitutional, alaska, proposes
Mr. President|| senate, membership, pulling
<|endoftext|>|| congress, question, chairman
Madam Speaker|| plan, chance, promises
Mr. President|| military, manual, army
Mr. Speaker|| deal, percent, time
Mr. Speaker|| objection, gentleman, remarks
Mr. Speaker|| today, program, communities
Mr. Chairman|| colleague, seattle, trade
<|endoftext|>|| insurance, friends, giving
Mr. President|| committee, living, sick
Mr. Speaker|| union, civil, yield
Mr. Chairman|| lake, died, guard
<|endoftext|>|| terrorism, country, founded
Mr. President|| reauthorize, formulas, colloquy
Mr. President|| senate, committee, tuesday
Mr. President|| school, university, community
Mr. Speaker|| sick, friend, meals
<|endoftext|>|| head, exercise, back
Mr. President|| president, absence, tonight
Madam President|| order, objection, business
Mr. Speaker|| sgt., crime, american
Mr. Speaker|| justice, court, issued
Mr. President|| senators, move, members
Mr. President|| cell, bill, lines
<|endoftext|>|| success, agreements, offering
<|endoftext|>|| fondest, working, women
Mr. President|| senator, hong, president
<|endoftext|>|| courts, authority, intent
<|endoftext|>|| first-class, people, chair
<|endoftext|>|| whip, agreement, opportunity
Mr. Speaker|| speaker, introduction, women
<|endoftext|>|| listen, asked, important
Madam Speaker|| committee, earmarks, institute
Mr. President|| consideration, make, consent
Madam President|| taos, energy, understand
Mr. Chairman|| mixed, death, chairman
Madam President|| response, lord, nation
Madam Speaker|| world, today, flu
Mr. President|| conference, send, language
Mr. Speaker|| back, asked, hands
<|endoftext|>|| tonight, charlie, speaker
Madam Speaker|| trump, reason, white
Mr. President|| people, support, telecommunications
Mr. Speaker|| state, chairman, time
Madam Speaker|| constitution, america, japanese
Mr. Speaker|| agreed, speaker, adjourn
Mr. President|| william, department, baer
Mr. Speaker|| yield, foster, medicare
Mr. Speaker|| states, amen, country
<|endoftext|>|| leader, state, chairman
Mr. President|| selling, years, budget
Mr. President|| written, fiscal, manager
Mr. Chairman|| loans, north, facing
<|endoftext|>|| system, encounter, ability
Madam President|| commander, tbi, defense
Mr. President|| secretary, traditional, letting
<|endoftext|>|| virginia, grassley, provisions
Mr. President|| virginia, redrafting, yield
Mr. Speaker|| substance, privileged, resolution
Mr. Speaker|| order, present, pursuant
Mr. Speaker|| people, maryland, nation
Mr. Chairman|| pay, authorities, citizens
Mr. Speaker|| gentleman, call, government
Mr. Chairman|| additional, lahood, chairman
Mr. President|| summers, issue, federal
Mr. President|| colorado, water, lifeblood
