Mr. President|| morning, 10:30, president
Mr. Chairman|| member, passed, training
Mr. Chairman|| activities, loan, chairman
Mr. Speaker|| speaker, families, unbelievable
Mr. Speaker|| insert, extraneous, pro
Madam President|| circuit, trump, qualified
Mr. Speaker|| gentleman, adoptive, michigan
Mr. President|| immigrants, senator, women
Madam Speaker|| trafficking, slavery, daughter
Mr. President|| support, eastern, pennsylvania
<|endoftext|>|| chevys, speaker, iraq
Mr. Speaker|| cosponsors, florida, speaker
Mr. President|| country, qualifications, henry
Mr. Speaker|| waiting, speaker, position
Madam Chairman|| chairman, madam, provision
<|endoftext|>|| bill, week, accelerate
Mr. Speaker|| yield, states, americans
Mr. Speaker|| balance, colleagues, speaker
Mr. Speaker|| speaker, worn, bang
Madam Speaker|| rita, bill, hurricane
Mr. Speaker|| good, american, speaker
Mr. Speaker|| budget, columbia, act
<|endoftext|>|| canada, country, gentleman
<|endoftext|>|| parties, ideologies, defend
Mr. President|| committee, appalachia, commission
Mr. President|| administration, protections, americans
<|endoftext|>|| chapter, bowl, arrive
Mr. President|| members, tempore, thanksgiving
Madam President|| delay, questions, president
<|endoftext|>|| ordered, agreed, gentleman
Madam Speaker|| week, committee, passed
Madam Chair|| bill, create, raised
Mr. Speaker|| protection, june, congress
Mr. Speaker|| make, martin, paying
Madam President|| bottom, north, madam
<|endoftext|>|| agree, word, weekend
Mr. Chairman|| additional, move, requisite
Mr. President|| north, macedonia, prime
Madam Speaker|| required, waters, speaker
Madam President|| number, wage, increase
Mr. Speaker|| debt, default, mark
Mr. President|| office, house, senator
Mr. President|| federal, house, reagan
Mr. Speaker|| gentleman, attempting, time
Mr. President|| secretary, money, funding
<|endoftext|>|| states, list, species
Mr. President|| reconsider, table, laid
Mr. President|| friday, amendments, jerusalem
Madam Chairman|| energy, important, strengthen
Mr. Speaker|| opportunity, extended, elk
<|endoftext|>|| spectrum, possibly, vacate
<|endoftext|>|| acting, constitutes, law
Mr. President|| president, june, national
Madam President|| president, years, obligations
Mr. Speaker|| phrase, find, district
Mr. Chairman|| president, representatives, speech
<|endoftext|>|| suffered, interested, aware
Mr. Speaker|| bill, rise, government
<|endoftext|>|| iraq, interests, intervention
Mr. President|| aide, secret, senate
<|endoftext|>|| debate, point, democrats
<|endoftext|>|| deliberately, time, approach
Mr. Speaker|| support, create, speaker
Mr. Speaker|| speaker, unanimous, tempore
<|endoftext|>|| senator, plenty, happening
<|endoftext|>|| central, week, today
Mr. President|| bob, disabilities, president
Madam President|| security, construed, homeland
Mr. Speaker|| lance, state, consume
<|endoftext|>|| side, support, people
Mr. President|| ridge, worksite, fitness
Madam Speaker|| increase, largest, americans
<|endoftext|>|| weeks, senator, spend
<|endoftext|>|| legitimate, deeply, prepared
<|endoftext|>|| isis, arms, west
<|endoftext|>|| pension, senate, house
Mr. Speaker|| united, fought, mexican
Madam President|| distance, hearing, helping
Mr. Chairman|| army, support, modified
Mr. Speaker|| code, consume, irs
Mr. Speaker|| mexico, congress, speaker
Madam Speaker|| administration, bill, objection
<|endoftext|>|| assistance, speaker, thing
Mr. Chairman|| important, interior, fuel
Mr. Chair|| chair, walberg, leaves
Mr. Speaker|| speaker, needed, republican
<|endoftext|>|| american, yield, acting
Mr. Speaker|| anniversary, april, genocide
<|endoftext|>|| percent, president, opposition
Mr. President|| president, fulfill, governments
<|endoftext|>|| cost, minutes, trojan
Mr. President|| sanford, states, england
Mr. Speaker|| world, britain, involved
Mr. Chairman|| active, statement, basis
Madam President|| costs, madam, federal
<|endoftext|>|| legitimately, taxpayers, taxes
Mr. Chairman|| chairman, opposed, mixed
Mr. President|| president, important, constitution
<|endoftext|>|| senator, people, government
Mr. Speaker|| ralph, energy, ferc
Mr. Speaker|| remarks, revise, objection
<|endoftext|>|| point, plan, president
<|endoftext|>|| agreed, deemed, unanimous
Mr. Speaker|| heard, great, tables
<|endoftext|>|| committee, avenues, concern
Mr. President|| knox, fame, matt
Mr. Speaker|| friend, dealing, outset
Mr. Speaker|| carolina, institution, people
<|endoftext|>|| rest, stay, rule
Mr. Speaker|| president, speaker, show
Mr. President|| business, stand, thursday
Mr. President|| scheduled, request, indulge
Mr. Speaker|| murders, bill, legislation
<|endoftext|>|| marginally, improves, change
Mr. Speaker|| days, speaker, request
Madam Speaker|| previously, speaker, kennedy
Mr. President|| business, designee, july
Mr. Speaker|| tempore, extend, extraneous
Mr. Speaker|| act, national, design
<|endoftext|>|| chairman, yield, amendment
Mr. Chairman|| yielding, appropriations, columbia
Mr. Speaker|| efforts, charles, signal
Mr. Speaker. I am pleased to join the members of the Merchant Marine Committee in expressing strong support for the bill establishing the Junior Duck Stamp Conservation and Design Program.  The Junior Duck Stamp Program is modeled after the Federal Duck Stamp Program|| designs, rudy, competition
<|endoftext|>|| resolved, district, difference
Mr. Chairman|| energy, rise, gentleman
Mr. Chairman|| office, find, portman
<|endoftext|>|| american, balance, hurting
Mr. Chairman|| border, national, haiti
Mr. President|| committee, senator, legislation
Mr. Speaker|| billion, china, procedures
Madam President|| beneath, continental, oil
Mr. Speaker|| hensarling, floor, international
Mr. Speaker|| today, bill, bringing
<|endoftext|>|| house, start, product
Madam President|| president, second-degree, modification
<|endoftext|>|| great, important, pending
Mr. President|| agriculture, keiser, bourland
Mr. President|| bill, managers, interior
Mr. President|| creamer, sergeant, province
Mr. Speaker|| house, governor, member
Mr. President|| senator, trigger, area
Mr. Speaker|| columbia, payments, defender
Mr. President|| highway, accidents, administration
Mr. President|| staff, dealt, bruce
Mr. President|| northern, president, central
<|endoftext|>|| respected, time, north
Mr. President|| leader, good, specifically
Mr. President|| government, epa, good
Mr. Speaker|| senator, fish, reservoir
Mr. President|| post, making, things
Mr. Speaker|| california, florida, extend
Madam Speaker|| obama, emergency, speaker
Mr. Speaker|| remarks, unanimous, gentleman
Mr. Speaker|| challenging, irs, koskinen
Mr. President|| president, staff, georgia
Mr. Chairman|| important, today, school
Mr. Speaker|| ordered, pro, yeas
Mr. Speaker|| miami, today, cure
Mr. President|| unanimous, leaders, day
Mr. President|| bill, president, managers
Mr. Chairman|| public, year, grants
Mr. Speaker|| essential, policy, meeting
<|endoftext|>|| earning, payments, corporations
Mr. Speaker|| house, time, important
Mr. Speaker|| unable, rollcall, yea
Mr. Speaker|| yield, children, gentleman
Mr. President|| basketball, proved, year
<|endoftext|>|| cut, opportunity, recall
Mr. Speaker|| national, east, days
Mr. Speaker|| michigan, committee, medicare
Mr. President|| bill, matching, spending
<|endoftext|>|| left, back, island
Mr. President|| aisle, nominations, democratic
Mr. President|| jobs, legislation, john
Mr. Chairman|| durbin, yield, amendment
Mr. Speaker|| pro, federal, american
Mr. President|| byrd, president, oregon
Mr. President|| schools, students, president
Mr. Speaker|| army, american, roosevelt
<|endoftext|>|| years, income, president
Mr. President|| suspend, president, chair
<|endoftext|>|| made, treated, american
Mr. President|| session, committee, hearing
<|endoftext|>|| bill, desk, chamber
<|endoftext|>|| senator, commitment, cuts
Mr. President|| pennsylvania, congratulate, mine
Mr. Speaker|| affordable, efforts, bill
Mr. Chairman|| budget, meet, resolution
Madam Speaker|| practical, community, madam
Mr. President|| bill, established, article
Mr. President|| unemployment, today, anniversary
Mr. Speaker|| speaker, yield, committee
<|endoftext|>|| state, coverage, american
Mr. Speaker|| agree, journal, fund
Mr. Speaker|| trillion, budget, money
Mr. Speaker|| intervention, industrialized, drug
<|endoftext|>|| audience, proceedings, refrain
Mr. President|| side, senator, senate
Mr. Speaker|| thomas, military, retirees
Mr. President|| senate, wished, times
<|endoftext|>|| troops, food, priorities
Mr. Speaker|| peace, resolved, start
Mr. Chairman|| chairman, worked, broke
<|endoftext|>|| person, members, yield
Mr. Speaker|| television, ago, donald
Mr. Chairman|| chairman, denounce, gentleman
<|endoftext|>|| consume, committee, texas
<|endoftext|>|| days, opportunity, unbelievable
Madam Speaker|| equips, gentleman, kind
<|endoftext|>|| previous, stand, consent
Mr. President|| deep, today, january
Mr. Speaker|| gop, committee, americans
<|endoftext|>|| york, reflected, pay
Mr. President|| nation, dakota, virginia
Mr. Speaker|| cuts, lightly, liberties
Mr. President|| flawed, times, opportunity
Mr. Chairman|| employees, top-down, vanishing
<|endoftext|>|| mailbox, reductions, record
Mr. President|| americans, school, president
<|endoftext|>|| arrogance, speaking, unconstitutional
Mr. Speaker|| september, sergeant, rise
Madam Speaker|| question, bill, time
Mr. Speaker|| fight, billion, talk
<|endoftext|>|| secretary, ohio, grains
<|endoftext|>|| poor, middle, homes
Mr. Chairman|| chairman, member, yielding
Mr. Speaker|| bad, simpson, chairman
Mr. Speaker|| homes, tax, day
Mr. President|| internal, revenue, taxes
Mr. Chairman|| strong, ports, shuster
Mr. President|| dirksen, united, schumer
Mr. President|| clarify, weapon, solution
<|endoftext|>|| start, majority, button
<|endoftext|>|| adopted, heflin, offered
Mr. Chairman|| miller, moratorium, leader
Mr. Speaker|| states, country, prime
Mr. Speaker|| balance, speaker, broad
Mr. President|| people, technical, corrections
Madam Chair|| states, commerce, amendment
<|endoftext|>|| woman, net, health
Mr. Speaker|| rodriguez, chamber, speaker
Madam President|| los, terms, amendment
Mr. Speaker|| immigration, economy, bill
Mr. Speaker|| great, speaker, brooks
Madam Speaker|| explained, california, colleague
Mr. President|| tribute, aashto, years
Mr. President|| fish, nation, habitat
Mr. President|| huskies, university, illinois
Mr. Speaker|| troubling, increase, rise
Mr. Speaker|| include, material, consent
Mr. Chairman|| hill, strategic, people
Mr. President|| senator, education, fiscal
Mr. Speaker|| agriculture, minnesota, washington
Mr. Chairman|| million, chairman, desert
Mr. Speaker|| speaker, democrats, welfare
Mr. President|| 9:30, president, wednesday
Mr. Speaker|| addressed, resources, real
Mr. Speaker|| mrs., chicago, president
Mr. President|| support, americans, south
<|endoftext|>|| gridlock, dod, process
Mr. President|| human, senators, cattle
Mr. Speaker|| administrator, navigable, classic
Mr. Chairman|| attorney, gentleman, office
Mr. President|| space, hubble, science
Mr. Speaker|| women, speak, corporal
<|endoftext|>|| read, motion, time
<|endoftext|>|| hole, care, talking
Mr. Chairman|| saxton, program, words
Mr. Speaker|| health, eastern, women
<|endoftext|>|| post, virginia, teacher
Mr. Speaker|| medicare, understands, input
Mr. Chairman|| gephardt, block, consent
Mr. Chairman|| chairman, west, solutions
Mr. Speaker|| time, winner, medal
Mr. President|| february, family, sophia
Mr. Chairman|| gentleman, order, taking
Mr. Speaker|| part, nasa, language
<|endoftext|>|| measures, friend, common
<|endoftext|>|| tires, pay, courts
Mr. President|| canadians, canadian, maine
Mr. President|| care, committee, finance
Mr. Speaker|| businesses, rule, board
<|endoftext|>|| tempore, back, speaker
Mr. President|| create, apple, american
Mr. President|| people, thousands, government
Mr. President|| rehabilitation, announce, resources
Mr. Speaker|| government, security, gap
Mr. President|| senate, force, executive
Mr. President|| senate, america, limits
<|endoftext|>|| 7:14, august, business
Mr. Speaker|| men, brunt, act
Madam Chair|| job, office, chair
Madam President|| chairman, issue, objection
Mr. Speaker|| vote, lifesaving, als
<|endoftext|>|| member, committee, coverdell
Mr. Speaker|| act, speaker, damages
Mr. Chairman|| appointment, provision, hearing
Mr. Speaker|| family, speaker, nations
<|endoftext|>|| back, feet, grow
Mr. Speaker|| fact, nations, speaker
<|endoftext|>|| system, deeply, floor
Mr. Speaker|| senate, republican, matthew
Madam Speaker|| sean, today, americans
Mr. President|| number, bill, yield
Mr. President|| americans, businesses, people
Madam Speaker|| speaker, madam, great
Madam Speaker|| put, record, consent
Mr. Chairman|| arab, wrote, technology
Mr. President|| mississippi, start, states
Mr. President|| military, cooperation, security
Mr. President|| mark, initiatives, committees
<|endoftext|>|| leader, mccarthy, gentleman
Mr. Speaker|| january, time, republicans
Mr. Chairman|| commend, coming, thing
<|endoftext|>|| president, gatt, trade
Madam President|| island, development, president
<|endoftext|>|| energy, tax, give
Mr. President|| xix, eligible, veterans
Mr. President|| treaty, materials, president
Mr. Speaker|| years, saint, mourn
Mr. Chairman|| silly, expect, happening
Mr. President|| community, spring, health
Mr. President|| federal, prayer, senate
Mr. Chair|| errors, medical, process
Madam President|| michigan, president, put
<|endoftext|>|| house, time, jobs
Mr. Speaker|| snap, people, american
Mr. Chairman|| official, government, english
Mr. Chairman|| gentlewoman, competitive, state
Madam President|| mitch, unanimous, bill
Mr. Speaker|| jersey, bill, invest
Mr. President|| minutes, senator, time
Mr. President|| con, act, waive
Mr. President|| case, college, carolina
Mr. Speaker|| speaker, excavations, discharged
Mr. President|| security, arms, bosnia
Mr. Speaker|| agreed, cbo, days
Mr. President|| janice, university, north
<|endoftext|>|| senator, reform, bond
Mr. President|| chair, bring, pleased
Mr. Speaker|| alzheimer, vote, health
Mr. President|| communities, speak, federal
Mr. President|| works, klein, agency
Madam President|| state, swept, local
<|endoftext|>|| chair, shut, america
Mr. President|| weeks, week, child
Mr. Speaker|| county, december, today
Mr. President|| drinking, thursday, 9:30
Mr. President|| time, move, gorton
Madam President|| minutes, practice, today
Mr. Speaker|| speaker, process, overharvesting
Mr. President|| robert, senator, remarks
Mr. Speaker|| legislation, speaker, coupon
Mr. Speaker|| bill, gentleman, legislative
<|endoftext|>|| set, good, problems
Mr. Speaker|| earned, senator, credit
<|endoftext|>|| trade, china, negotiations
Madam Speaker|| congress, country, family
Mr. Speaker|| people, single, unfair
Mr. Speaker|| revise, days, include
Mr. Chairman|| programs, hall, food
Mr. President|| find, vehicle, discussed
Madam Speaker|| heavy, biden, security
Mr. President|| farms, rural, prices
<|endoftext|>|| minority, speaker, senate
Mr. President|| material, agreement, congressional
Mr. President|| president, workers, congress
Mr. President|| talk, side, president
Mr. Speaker|| association, america, dignity
Mr. President|| champion, michael, senate
<|endoftext|>|| washington, efforts, move
Mr. President|| markets, crisis, government
<|endoftext|>|| levin, floor, country
Mr. Chair|| allegations, secret, process
<|endoftext|>|| talk, minutes, senator
Mr. President|| purpose, days, significant
Mr. President|| rule, package, bernanke
Mr. Chairman|| quality, congress, texas
Mr. Speaker|| security, today, department
Mr. Speaker|| increase, exemption, act
<|endoftext|>|| make, served, people
Mr. Speaker|| house, full, time
Madam President|| american, time, deserve
<|endoftext|>|| real, tax, people
Mr. Speaker|| tonight, services, gentleman
<|endoftext|>|| wanted, governor, information
<|endoftext|>|| americans, enemies, iraq
Mr. Speaker|| indiana, funding, food
Mr. Speaker|| side, pay, medical
Madam Chairman|| financing, american, jobs
Mr. Chairman|| committee, sean, secretary
Mr. President|| burwell, april, august
Madam Speaker|| president, congress, corrections
Mr. President|| approximately, order, follow
Mr. Speaker|| theocratic, islam, sentenced
<|endoftext|>|| feingold, security, intend
<|endoftext|>|| call, pay, bills
<|endoftext|>|| concerned, yield, doubt
Mr. Speaker|| country, national, awareness
Mr. President|| spending, deficit, amendment
Mr. Speaker|| speaker, iraq, unfolding
Mr. Speaker|| matter, deficit, speaker
Mr. Speaker|| brownfields, properties, years
Mr. Chairman|| separate, requires, legislation
Madam President|| objections, unanimous, wishes
Madam Speaker|| pray, week, station
<|endoftext|>|| power, change, brag
Mr. Speaker|| young, side, unpleasant
Mr. President|| dakota, marine, veterans
Mr. Speaker|| held, founders, enforcement
<|endoftext|>|| offered, brown, substitute
<|endoftext|>|| local, crime, option
Madam President|| federal, children, companies
<|endoftext|>|| aware, commerce, senator
Mr. President|| small, democratic, costs
Mr. Chairman|| bush, commerce, grants
Mr. Speaker|| pursuant, proceedings, considered
<|endoftext|>|| families, jobs, strong
Madam President|| strategy, study, iraq
<|endoftext|>|| amendment, case, move
Mr. President|| lot, senator, substitute
Mr. President|| order, point, ohio
Mr. Speaker|| ambassadors, york, republican
<|endoftext|>|| awards, committee, alvarez
Mr. President|| speak, hatch, coverdell
Mr. Speaker|| closing, important, accounts
Mr. Speaker|| creating, speaker, public
Mr. Speaker|| live, farm, speaker
<|endoftext|>|| bill, health, agree
Mr. President|| american, spent, constituents
<|endoftext|>|| force, jobs, airbus
Mr. President|| responsibility, national, act
Mr. Speaker|| pro, extend, objection
<|endoftext|>|| medicare, president, seniors
Mr. Speaker|| intellectual, speaker, subcommittee
Mr. President|| reunification, effort, orleans
Mr. Speaker|| commerce, appropriators, york
Mr. President|| encourage, continue, number
<|endoftext|>|| started, thought, health
Mr. Chairman|| fish, inform, park
<|endoftext|>|| 2:30, louisiana, today
Mr. Speaker|| happy, service, caregiver
Madam Speaker|| time, bipartisan, colleagues
Madam Speaker|| madam, senate, process
<|endoftext|>|| wise, setting, america
<|endoftext|>|| speak, percent, legislation
Mr. Speaker|| county, built, celebrate
Mr. Speaker|| side, support, rules
Mr. Speaker|| unable, vote, report
Mr. Speaker|| jamestown, early, english
<|endoftext|>|| debates, office, congresses
Mr. President|| make, immigration, government
<|endoftext|>|| cord, substantial, cells
Mr. President|| quorum, vote, designees
Mr. President|| morning, dealing, president
Mr. President|| missile, consideration, proceed
<|endoftext|>|| appeal, future, decision
<|endoftext|>|| consent, bases, minutes
<|endoftext|>|| listened, authorizing, note
Mr. Speaker|| point, jersey, act
Mr. Speaker|| thought, sam, speaker
<|endoftext|>|| thought, resolution, virginia
<|endoftext|>|| fighting, hunger, food
Mr. President|| cases, time, president
<|endoftext|>|| savings, republican, cost
<|endoftext|>|| working, gentlewoman, force
Mr. Chair|| veterans, claim, reimbursement
Mr. President|| senate, september, interesting
Mr. Speaker|| spoofing, speaker, call
Mr. Speaker|| effort, times, side
Mr. Chairman|| cable, phone, competition
Mr. Speaker|| order, move, agreed
Mr. Speaker|| issues, review, resolution
Mr. Speaker|| gentleman, remarks, request
Mr. Speaker|| nays, postponed, speaker
Mr. Speaker|| rule, reclaiming, previous
Mr. Speaker|| share, sewell, people
<|endoftext|>|| initiative, walden, give
Madam Speaker|| largest, trade, american
<|endoftext|>|| agriculture, member, effect
Mr. Speaker|| hear, day, bill
Mr. President|| senate, university, american
<|endoftext|>|| minutes, virginians, detail
Mr. President|| conference, report, coming
Mr. President|| questions, hope, supreme
Madam President|| secret, president, madam
Mr. President|| long, years, bill
Mr. President|| midnight, action, utah
Mr. President|| countries, year, trade
Mr. President|| defense, army, consent
Mr. President|| week, manufacturing, business
Mr. Chairman|| conversation, revenue, amendment
Mr. Chairman|| democrat, corporations, cato
<|endoftext|>|| chair, time, motion
Mr. Chairman|| things, education, success
Mr. Speaker|| home, budget, speaker
<|endoftext|>|| united, florida, people
<|endoftext|>|| systems, change, biofuels
Madam Speaker|| americans, medals, american
Mr. President|| torture, nation, congress
<|endoftext|>|| speakers, time, intend
Mr. President|| women, courts, fair
Mr. Chairman|| visas, eligibility, amendment
Mr. Chairman|| fascinating, reads, wisconsin
Mr. President|| district, dewine, judge
<|endoftext|>|| senate, chairman, year
<|endoftext|>|| property, service, los
Madam Speaker|| madam, speaker, rodriguez
Madam Speaker|| colleagues, latino, states
Madam President|| united, wto, human
Mr. Speaker|| foreign, republicans, billion
Mr. President|| republican, amendment, debate
Mr. Speaker|| leadership, congress, charities
Mr. Speaker|| south, request, remarks
<|endoftext|>|| tempore, question, provide
Mr. President|| kempthorne, budget, estimated
Mr. Speaker|| relief, people, care
Mr. Chairman|| forget, conference, rush
<|endoftext|>|| understandably, great, state-supported
Mr. President|| 2:30, amendments, votes
Mr. President|| president, appropriations, amount
<|endoftext|>|| great, distinguished, committee
Mr. Speaker|| illegal, bill, parents
Mr. Speaker|| takai, state, life
Madam Speaker|| businesses, affected, continue
Mr. Chairman|| offered, time, northwest
Mr. Speaker|| night, governor, express
<|endoftext|>|| subpoena, debate, privileged
Mr. Chairman|| president, american, time
Mr. Speaker|| find, administration, bipartisan
Mr. Chairman|| system, government, illegal
<|endoftext|>|| good, youth, feel
Mr. Chairman|| committee, house, agriculture
<|endoftext|>|| angst, hours, stage
Mr. President|| pledge, association, school
Madam President|| research, smoking, tobacco
Madam Speaker|| risks, oversight, process
Mr. Speaker|| adults, missing, yield
Mr. Speaker|| world, uss, indy
Mr. President|| small, businesses, chair
<|endoftext|>|| contribution, american, senators
Mr. Chairman|| make, gentleman, homes
Mr. President|| part, early, talk
Mr. Chairman|| job, planning, america
Madam Speaker|| democrats, madam, american
Madam Speaker|| today, healthcare, listening
Mr. Speaker|| washington, health, heard
Mr. Chairman|| embassies, personally, remember
Mr. President|| join, association, cesar
Mr. Speaker|| post, capitol, united
Mr. President|| men, act, colleagues
Mr. President|| 2:30, reconvene, senate
Mr. Chairman|| gentleman, amendment, rise
Mr. President|| president, day, march
Mr. President|| procedure, vote, president
Mr. Chair|| safe, rise, rule
Mr. President|| chamber, georgia, congress
Mr. President|| rise, committee, standards
Mr. President|| kind, florida, senator
<|endoftext|>|| myers, operate, agency
Mr. Speaker|| poor, illegal, jobs
<|endoftext|>|| ensure, pleasure, effort
Madam President|| making, serving, served
Mr. President|| left, friend, senator
Mr. Speaker|| oversight, washington, iraq
<|endoftext|>|| pennsylvania, friends, courtesy
Mr. Speaker|| trump, republican, healthcare
Mr. President|| fed, reserve, fomc
<|endoftext|>|| increased, thing, reach
<|endoftext|>|| proposed, graciously, desire
<|endoftext|>|| kennedy, effort, community
<|endoftext|>|| based, language, majority
<|endoftext|>|| important, house, implied
Mr. Speaker|| time, worked, leadership
Mr. President|| touch, talk, humbling
Mr. President|| autumn, isle, program
<|endoftext|>|| yield, belong, leader
Madam President|| opportunity, american, care
Madam President|| american, accused, senator
Mr. Chairman|| energy, chairman, ensure
Mr. Chairman|| improve, guard, development
Mr. Speaker|| liberties, today, reform
Madam President|| chairman, president, servicemembers
Mr. Speaker|| speak, legislation, speaker
Mr. President|| terror, time, world
<|endoftext|>|| wheelchair, health, record
Mr. Speaker|| rural, credit, speaker
Mr. President|| deficits, deficit, revised
Mr. Chairman|| create, day, poorest
<|endoftext|>|| connecticut, intent, cost
Mr. President|| beijing, chris, stand
Mr. President|| res, extension, item
Mr. President|| aisle, clear, bill
Madam Speaker|| insert, colorado, record
Mr. Chairman|| bill, time, keesler
Mr. Speaker|| gentleman, engel, cuts
Mr. President|| xvi, life, illinois
<|endoftext|>|| thereto, preamble, motion
<|endoftext|>|| side, equation, senator
Mr. Speaker|| war, korans, american
Mr. Speaker|| care, democrats, healthcare
Mr. Speaker|| act, program, marine
Mr. President|| inserted, senators, signs
Mr. Speaker|| border, confirmed, united
Mr. Speaker|| agree, talking, wanted
Mr. Speaker|| house, farmington, scenic
Mr. Speaker|| culture, marks, independence
Mr. Chairman|| chairman, navy, bill
Mr. Speaker|| home, care, speaker
Mr. Chairman|| cochair, california, natural
Mr. President|| percent, senator, kyl
<|endoftext|>|| programs, tauscher, members
<|endoftext|>|| phony, social, darrell
Madam President|| convenient, schedule, republican
Mr. Speaker|| national, icc, meaning
<|endoftext|>|| today, progressive, spends
Mr. Speaker|| nadler, sponsors, people
Mr. Speaker|| home, scoring, speaker
<|endoftext|>|| support, compassion, skills
<|endoftext|>|| york, absent, cruz
Mr. Chairman|| lease, companies, interior
Mr. Speaker|| pig, chair, pro
<|endoftext|>|| floor, concessions, business
Mr. Speaker|| pro, track, previous
Mr. Speaker|| zapata, state, mexico
Mr. Speaker|| side, speaker, dealt
Mr. Chairman|| recorded, proceedings, gentleman
<|endoftext|>|| americans, creating, united
Mr. President|| died, surgery, county
<|endoftext|>|| important, heard, amendment
Mr. President|| judiciary, committee, michigan
Mr. Speaker|| member, year, generation
Mr. Speaker|| montana, talking, fawell
Mr. Speaker|| working, foster, country
Mr. Chairman|| counties, wind, insurance
<|endoftext|>|| bill, families, president
Madam President|| senators, percent, farmer
Mr. Speaker|| time, patterns, previous
Mr. President|| lewis, president, huddleston
<|endoftext|>|| congress, pennsylvania, lot
<|endoftext|>|| robert, bill, fred
Mr. Speaker|| part, speaker, savings
Madam President|| hour, time, spoken
<|endoftext|>|| reflects, view, program
Mr. President|| december, united, committee
<|endoftext|>|| gentleman, noes, amendment
Mr. Speaker|| speaker, deadline, act
Madam President|| states, america, fires
Mr. Speaker|| pursuant, unanimous, banking
Mr. Chairman|| thomas, inches, brightness
Mr. Speaker|| obey, consideration, consent
<|endoftext|>|| regard, federal, terms
Mr. President|| session, day, court
Mr. Chair|| printed, texas, proceedings
Mr. Speaker|| speaker, support, life
Mr. Speaker|| aisle, minimum, leadership
Mr. Speaker|| nation, hyde, sixth
Mr. President|| concerns, states, bill
<|endoftext|>|| corporate, legislation, put
Mr. President|| kind, congress, make
Mr. Speaker|| important, costs, prices
Mr. President|| pledge, morning, senators
Mr. Speaker|| high, families, speaker
Madam Speaker|| greatest, mission, states
