Mr. Chairman|| pastor, illinois, important
<|endoftext|>|| mchale, pennsylvania, remarks
Mr. Chairman|| grant, market, pelosi
Mr. Speaker|| subject, urge, bringing
Madam Chair|| members, cole, supports
Mr. President|| problem, ration, medicare
<|endoftext|>|| amount, insignificant, correct
<|endoftext|>|| georgia, worthy, addressing
Mr. President|| object, federal, purposes
<|endoftext|>|| yield, colleague, joining
Mr. Chairman|| pander, people, idaho
<|endoftext|>|| system, government, join
<|endoftext|>|| laid, unanimous, substitute
<|endoftext|>|| consume, yield, minutes
Mr. President|| vote, judges, colleagues
<|endoftext|>|| intention, offsets, agreeable
Mr. Speaker|| country, rise, war
Mr. Speaker|| legislation, innocent, important
Madam President|| disaster, decide, time
Mr. Speaker|| republican, speaker, noble
Mr. Speaker|| committee, guard, committees
Madam Speaker|| manipulated, tax, bill
Mr. Speaker|| member, amended, question
Madam Chair|| efficiency, funding, million
Mr. Speaker|| clinton, families, reforming
Mr. President|| defense, budget, committee
Mr. Speaker|| amendment, language, back
Mr. Speaker|| gekas, live, fact
Mr. Speaker|| namibia, international, botswana
<|endoftext|>|| keystone, baffled, united
Mr. President|| rule, senate, act
<|endoftext|>|| people, reduction, price
Mr. President|| senator, president, amount
Madam Speaker|| plan, speaker, maine
Mr. Speaker|| facing, rose, speaker
Madam Chair|| climate, national, house
<|endoftext|>|| congress, conflict, attorneys
Mr. Speaker|| tax, talk, security
Mr. President|| control, tobacco, health
Mr. President|| senate, leaders, leader
<|endoftext|>|| congress, white, american
<|endoftext|>|| important, clear, view
Mr. Chairman|| army, air, cia
Mr. President|| million, made, president
<|endoftext|>|| award, election, solve
Madam President|| voice, remaining, senator
Mr. Chairman|| millions, program, ironic
Mr. President|| senate, room, september
Madam President|| senator, humanizing, health
Mr. Chairman|| bill, read, amendment
Mr. President|| terrorist, state, intelligence
<|endoftext|>|| yield, group, united
Mr. President|| commander, river, projects
Mr. President|| river, west, rio
Mr. Speaker|| opportunity, forward, gentleman
Mr. President|| consent, bill, agreed
Mr. Speaker|| oregon, speaker, year
<|endoftext|>|| vilsack, federal, senate
Mr. President|| conforming, objection, technical
Madam Speaker|| speaker, madam, development
Mr. Speaker|| america, incomes, seniors
Mr. Chairman|| accounts, effect, time
<|endoftext|>|| director, hope, senator
<|endoftext|>|| concurrent, amendment, substitute
Madam President|| hutchison, senators, hope
Mr. Speaker|| government, security, national
Mr. Speaker|| united, america, jewish
Mr. President|| telephone, states, national
Mr. President|| today, senate, dakotans
Madam Speaker|| speaker, south, york
Madam President|| accomplishments, wonderful, special
Mr. Chairman|| funds, chairman, hope
Mr. Speaker|| california, remarks, pro
Mr. Speaker|| bill, defense, continues
Mr. Speaker|| past, house, interest
Mr. President|| knew, time, douglass
Mr. Speaker|| rules, meet, consideration
Madam President|| senate, guard, approach
Mr. Chairman|| problems, believed, spoke
Mr. President|| neighbors, hill, korean
Mr. President|| report, bill, approximately
Madam Speaker|| nation, marine, dean
<|endoftext|>|| amendment, guarantee, stay
Mr. President|| amendment, house, budget
Mr. Chairman|| objection, mollohan, gentleman
Mr. President|| president, commodity, support
<|endoftext|>|| leader, murray, republican
Mr. President|| calla, team, massachusetts
Mr. Speaker|| question, requests, rules
Mr. Speaker|| strong, corruption, national
<|endoftext|>|| bill, reclaiming, incarceration
<|endoftext|>|| priority, acquisition, subcommittees
<|endoftext|>|| responsibly, branches, responsibilities
Mr. President|| held, regime, denied
Mr. President|| representative, united, senator
Mr. Speaker|| amendment, night, subject
Mr. Chairman|| bill, waiver, garza
Mr. President|| hiv, congress, tennessee
Mr. Speaker|| unanimous, tempore, remarks
Mr. Chairman|| security, bill, council
Madam President|| speaking, time, amendment
Mr. Speaker|| include, request, tempore
Mr. President|| baucus, senator, mexico
Mr. President|| pointing, salute, minority
Madam President|| respond, raised, bill
<|endoftext|>|| happy, chairman, remarks
Mr. Speaker|| tempore, days, remarks
<|endoftext|>|| zoe, man, time
Mr. President|| president, pacific, order
Mr. Chairman|| chairman, nation, bill
Mr. President|| speak, bumpers, agreement
<|endoftext|>|| eliminate, enters, state
Mr. Speaker|| infrastructure, letter, state
Mr. Speaker|| remember, years, american
Mr. Speaker|| government, actions, harsh
Madam President|| support, absolutely, government
<|endoftext|>|| invoked, clinton, nomination
<|endoftext|>|| deals, problem, amendment
<|endoftext|>|| series, amendment, nos
<|endoftext|>|| people, compliment, audience
Mr. Chairman|| year, families, deficit
Mr. Speaker|| energy, power, speaker
Mr. Speaker|| children, back, townhall
Mr. President|| meet, unanimous, atm
Mr. Chairman|| presidio, office, made
<|endoftext|>|| congressional, argument, funds
<|endoftext|>|| idaho, private, american
Madam President|| cuts, creating, association
Mr. Speaker|| speaker, investment, critical
<|endoftext|>|| bad, debt, life
Mr. Speaker|| today, face, resolution
Mr. Chairman|| balance, undo, research
Mr. President|| approaches, make, differ
Mr. Speaker|| speaker, urging, house
<|endoftext|>|| amendment, achieve, united
Mr. Speaker|| age, children, fate
Mr. President|| justice, intelligence, flatout
Mr. Chairman|| abortion, planning, international
Mr. Speaker|| pennington, district, years
Mr. Speaker|| democratic, class, speaker
Mr. President|| senator, place, budget
Mr. Speaker|| people, americans, security
<|endoftext|>|| state, payment, penalty
<|endoftext|>|| jobs, colleagues, economy
Mr. Speaker|| procedure, american, children
Mr. Speaker|| career, colleague, michigan
<|endoftext|>|| judgment, louisiana, state
Mr. Speaker|| time, speak, persons
Mr. President|| senate, consent, monday
Mr. Speaker|| advised, gentleman, rules
Mr. President|| relief, big, american
