Madam Speaker|| folks, happy, americans
<|endoftext|>|| bipartisan, country, members
Madam Speaker|| columbia, today, so-called
Mr. Chairman|| significance, pennsylvania, weldon
<|endoftext|>|| recently, york, times
Mr. President|| lafayette, wake, efforts
Mr. President|| defer, tomorrow, floor
Madam President|| senate, recognized, pro
Mr. Chair|| regulatory, support, agency
Mr. Speaker|| gentleman, indianapolis, indiana
<|endoftext|>|| rare, o'clock, gentlewoman
Mr. President|| proceed, executive, president
Mr. President|| office, real, cbo
Madam Speaker|| revise, florida, days
Mr. Chairman|| back, justice, people
Mr. Speaker|| participate, college, postsecondary
Madam President|| commend, statements, illinois
Mr. Speaker|| suggest, branch, version
Mr. President|| positive, leader, anticipate
<|endoftext|>|| mrs., york, continues
<|endoftext|>|| democrats, retirement, sec
Mr. Speaker|| missouri, enacting, system
Mr. Speaker|| rosebud, legislation, yield
<|endoftext|>|| told, good, previous
<|endoftext|>|| article, marriage, support
<|endoftext|>|| sunlight, budget, goal
<|endoftext|>|| rules, suspension, policy
<|endoftext|>|| back, acting, appeared
Madam Speaker|| children, program, complicated
Mr. Chairman|| proposal, presently, wisconsin
<|endoftext|>|| bill, office, question
Mr. Speaker|| people, genocide, peace
Mr. President|| senate, previous, 7:11
<|endoftext|>|| chairman, body, mexico
Mr. President|| colleague, tuitions, offered
Madam Speaker|| speaker, table, people
Mr. President|| index, area, wage
Mr. President|| opportunity, senator, unanimous
Mr. President|| reorganization, business, relations
Mr. Speaker|| repeal, support, speaker
Mr. Speaker|| programs, block, speaker
<|endoftext|>|| war, dni, strong
<|endoftext|>|| crocodile, submit, tears
Mr. President|| authorized, april, unanimous
<|endoftext|>|| people, work, commend
Mr. Speaker|| wanted, major, savings
<|endoftext|>|| september, hearing, questions
Mr. Speaker|| fast, debate, paper
Mr. President|| lincoln, united, march
Mr. President|| simply, waiting, moments
Mr. President|| president, local, enhancement
Mr. President|| recalls, chambliss, united
Mr. President|| enforcement, act, make
Mr. Speaker|| government, sector, workers
Mr. President|| consent, authorized, conduct
<|endoftext|>|| part, time, amendment
Mr. President|| hospital, cuts, areas
Mr. President|| bureaucracy, question, senator
Mr. Speaker|| efforts, gentleman, weapon
Madam Speaker|| madam, bill, harness
<|endoftext|>|| close, amendment, yield
Mr. President|| alcohol, testing, workers
Mr. Speaker|| postponed, pro, rule
<|endoftext|>|| studies, strategic, europe
Mr. Speaker|| iraq, states, president
Madam Speaker|| petition, past, days
<|endoftext|>|| vote, ninth, judiciary
Mr. Speaker|| community, opened, army
Mr. President|| time, young, acts
Mr. Speaker|| speaker, work, point
<|endoftext|>|| dealing, amendment, odd
Madam President|| madam, amendments, washington
Mr. President|| today, president, voted
Mr. President|| department, report, proposal
Mr. Chairman|| mandate, make, child
Madam President|| exceptions, priority, important
Mr. Speaker|| walden, yield, year
Mr. President|| people, legislation, day
Mr. President|| bond, immediately, amendment
<|endoftext|>|| made, adopting, proceed
Mr. Speaker|| germany, rise, denied
Mr. President|| interest, companies, practices
Mr. Speaker|| commerce, inspector, federal
Mr. President|| morning, speak, senate
Mr. President|| senator, today, protections
Mr. President|| nomination, consideration, friend
Mr. President|| country, work, big
Mr. Speaker|| united, supreme, bill
Mr. Chairman|| objections, prices, years
<|endoftext|>|| concede, plan, study
<|endoftext|>|| democrats, vote, social
Madam Speaker|| rule, time, bipartisan
Mr. Speaker|| tomorrow, begun, association
Mr. Chairman|| nfip, budget, program
Mr. Speaker|| late, finish, day
Mr. Speaker|| connections, country, task
Mr. Speaker|| speaker, stark, health
<|endoftext|>|| plan, american, obamacare
Mr. Speaker|| success, quality, robin
Mr. Speaker|| president, inflation, trust
Madam Speaker|| support, rise, amnesty
Mr. President|| work, spending, bloc
Mr. Speaker|| people, discussions, continued
<|endoftext|>|| american, citizen, terrorist
Mr. President|| senate, president, state
Mr. President|| years, president, september
Mr. President|| understand, gimmicks, democratic
Madam Speaker|| today, tax, patriot
Mr. President|| affairs, committee, senator
Mr. President|| increase, americans, spending
Madam President|| hope, administration, colleagues
Mr. President|| time, conclusion, amendments
Mr. President|| simpson, concurrent, move
Mr. Speaker|| time, beneficiaries, health
Mr. Speaker|| people, minimum, arguments
Mr. Speaker|| speaker, advisory, money
Mr. President|| appreciative, comment, happen
<|endoftext|>|| officer, budget, presiding
Mr. Speaker|| research, jobs, capital
Mr. President|| special, medicare, president
Mr. Chairman|| state, rational, seats
<|endoftext|>|| united, attempt, states
Mr. Speaker|| back, bush, texas
Mr. Chairman|| bases, law, state
Madam President|| voted, madam, present
<|endoftext|>|| environmental, two-way, representative
Mr. Speaker|| nation, lot, deal
Madam Speaker|| american, republicans, jobs
Mr. Speaker|| problem, health, solution
<|endoftext|>|| comfortable, report, ranking
Mr. Chairman|| chairman, prevention, maryland
Mr. Chairman|| bill, laws, mandates
Mr. Speaker|| lot, contracts, members
Mr. President|| minutes, date, unanimous
Mr. President|| senator, program, education
Madam President|| american, york, morning
Mr. President|| committee, year, authorization
Mr. Speaker|| members, pleasure, introduce
Mr. Speaker|| armenians, april, marked
Mr. President|| senate, boards, stop
Mr. President|| draft, judiciary, whistleblowers
Mr. Chairman|| nation, rise, republicans
Mr. President|| building, committee, dirksen
<|endoftext|>|| washington, specific, understanding
Mr. Speaker|| speaker, hour, week
Mr. Speaker|| senate, commerce, telemarketing
Mr. President|| 9:30, discuss, works
Mr. Speaker|| speaker, today, conference
Mr. President|| taxpayers, review, car
<|endoftext|>|| homeland, subcommittee, monitors
Mr. Speaker|| staffers, con, brown
Mr. Speaker|| income, paying, america
Mr. President|| coverage, care, woman
Mr. Chairman|| respond, resources, side
Mr. Speaker|| time, mariana, motion
Mr. Speaker|| board, bargaining, dictating
Mr. Chairman|| member, bill, major
Madam Speaker|| speaker, baby, babies
Mr. President|| senator, important, young
Madam President|| comprehensive, homeland, president
Mr. Speaker|| country, speaker, delivery
<|endoftext|>|| security, position, prosperity
Mr. President|| refugee, jordan, persecution
Mr. Speaker|| program, successful, counties
Mr. Chairman|| carolina, yield, brown
Madam President|| time, president, navy
Mr. Speaker|| blues, present, ray
<|endoftext|>|| employer, speech, senator
Mr. President|| senate, houston, johnson
<|endoftext|>|| electricity, realistically, senator
<|endoftext|>|| city, suits, bill
Mr. President|| oppose, director, senator
Mr. Speaker|| dime, consume, work
Mr. Speaker|| legislative, objection, request
Mr. President|| pennsylvania, care, president
Mr. Speaker|| subcommittee, question, sham
Mr. Chairman|| people, legislation, state
Mr. Speaker|| version, speaker, homeland
Mr. President|| protection, program, tuesday
Mr. President|| simply, hatch, number
Mr. Speaker|| rules, pro, chair
Mr. President|| direct, law, provision
Mr. Chairman|| state-issued, real, report
<|endoftext|>|| hit, dera, reclaiming
<|endoftext|>|| malign, prescribe, indiana
Mr. President|| conrad, situation, fiscal
Mr. Speaker|| chairman, quality, included
<|endoftext|>|| enlisted, veteran, walz
Madam President|| people, vermont, congratulate
Mr. Speaker|| research, science, technology
Mr. President|| current, president, kennedy
Mr. President|| oil, doe, number
<|endoftext|>|| connecticut, announce, massachusetts
<|endoftext|>|| working, welfare, store
<|endoftext|>|| bill, withdraw, advocating
Mr. Chairman|| support, strongly, urge
Mr. Chairman|| state, administration, amendment
Mr. President|| transfers, ensure, terrorists
Mr. Speaker|| opportunity, government-run, plan
Mr. Speaker|| motion, ordered, demand
Mr. Chairman|| competent, private, property
Mr. Chairman|| amendment, unsubstantiated, request
Mr. Speaker|| consumers, conference, product
Mr. President|| police, incident, act
Mr. President|| resolution, current, congress
Mr. President|| california, kids, school
Mr. President|| president, amendment, persuasive
<|endoftext|>|| boehlert, gentleman, passed
Mr. Chairman|| states, organization, national
<|endoftext|>|| administration, nation, evening
Mr. Speaker|| pro, resolution, res
<|endoftext|>|| allotted, finish, debate
Mr. President|| dakota, president, energy
Madam Speaker|| stigma, discrimination, united
Mr. Speaker|| colleagues, government, people
Mr. Speaker|| advantage, medicare, committee
<|endoftext|>|| chair, bryant, bill
Mr. Speaker|| hunter, gentleman, san
Mr. Chairman|| ondcp, federal, constantly
Mr. Speaker|| representing, speaker, statehood
Mr. President|| unanimous, identical, today
Mr. Speaker|| lady, remembrance, district
Mr. President|| rise, las, road
Mr. Speaker|| previous, objection, time
Mr. Chairman|| restated, law, service
Mr. Speaker|| check, guns, nics
Mr. President|| dealing, congress, rise
<|endoftext|>|| minister, stand, visitor
Madam President|| cambodian, united, forces
Mr. Speaker|| congratulations, energy, congress
<|endoftext|>|| today, marketplace, denial
Mr. President|| tuesday, october, committee
Mr. Chairman|| engineering, facilities, cda
Mr. Speaker|| boeing, nation, small
Mr. Chairman|| medicare, minnie, security
Mr. Speaker|| two-thirds, california, pro
Mr. President|| evening, yom, hashanah
<|endoftext|>|| vote, printed, agreement
Mr. Chairman|| surveys, aquifer, aquifers
<|endoftext|>|| state, strong, forward
Madam Chairman|| system, make, inventory
<|endoftext|>|| matter, amendments, determined
Mr. Speaker|| adjourn, monday, move
Mr. Chairman|| nea, number, money
Mr. Speaker|| years, council, rockledge
Mr. President|| dewine, talked, finish
<|endoftext|>|| federal, american, hispanic
Mr. Speaker|| asked, gentleman, cut
Mr. President|| sunstein, rise, review
Mr. President|| back, comprehensive, annihilation
Mr. Speaker|| gentleman, west, debate
<|endoftext|>|| city, body, spend
<|endoftext|>|| consent, requires, matter
<|endoftext|>|| consent, presiding, escort
<|endoftext|>|| reconsider, laid, reservation
Mr. Chairman|| funding, communities, lack
<|endoftext|>|| record, speaker, mariana
Mr. Speaker|| eliminate, lowey, rule
<|endoftext|>|| republicans, congress, mythology
<|endoftext|>|| redundant, federal, gentleman
Mr. Chairman|| cost, memorandum, fuel
Mr. Speaker|| capitol, minutes, conference
Mr. President|| democratic, america, senator
Mr. President|| mandated, finally, status
Mr. Chairman|| correction, review, boehlert
Mr. Speaker|| speaker, obama, job
<|endoftext|>|| simply, country, perfect
Mr. Speaker|| additional, billion, bill
Mr. Speaker|| consume, time, author
Mr. President|| amendment, national, violent
Mr. President|| commodity, markup, president
Mr. Chair|| chair, branch, gpo
Mr. Speaker|| deduction, committee, bill
<|endoftext|>|| alternatives, urge, bill
Mr. Speaker|| athletic, national, tigers
Mr. Speaker|| event, back, speaker
Mr. President|| corruption, countries, international
Mr. President|| costs, bill, income
<|endoftext|>|| vote, december, minute
Mr. President|| legislation, states, senate
<|endoftext|>|| equivalent, billion, wait
Mr. Speaker|| united, recognize, armenian
Madam President|| human, states, president
<|endoftext|>|| government, commission, relief
Mr. President|| begin, afternoon, members
Mr. President|| leaders, july, situation
Mr. President|| national, security, act
<|endoftext|>|| gentleman, order, cases
Mr. Speaker|| judges, state, families
Mr. Speaker|| program, speaker, amendment
Mr. Speaker|| government, powers, discuss
Mr. President|| adjourn, unanimous, previous
Mr. President|| reasons, president, senate
Mr. President|| israeli, president, amendment
Mr. President|| businesses, small, reform
Mr. President|| consent, john, res
Mr. President|| rhode, care, medicaid
Mr. President|| communications, staff, cosponsor
<|endoftext|>|| send, dollars, lucky
Madam Speaker|| rules, motion, oklahoma
Mr. Speaker|| emergency, speaker, flint
<|endoftext|>|| programs, sitting, ethiopia
Mr. President|| waiting, disclosure, title
Mr. President|| review, 9:30, security
<|endoftext|>|| insight, cooper, government
<|endoftext|>|| paragraph, research, advocating
Mr. President|| cost, regulation, pay
<|endoftext|>|| director, administration, admit
Mr. Speaker|| yielding, bereuter, time
<|endoftext|>|| unable, amendments, democrats
Mr. President|| provide, die, order
Mr. Chairman|| reaching, january, requisite
<|endoftext|>|| mccain, senator, florida
Mr. President|| ordered, corzine, permitted
Mr. Speaker|| speaker, committee, fact
Mr. Speaker|| exhibit, war, prisoners
Mr. Chairman|| end, camps, remarks
Mr. Chairman|| gentleman, appeared, indiana
Mr. President|| long, harassment, retirement
Mr. President|| public, human, healthcare
<|endoftext|>|| pilots, executives, committee
Mr. President|| president, passed, bill
<|endoftext|>|| role, georgia, subcommittee
Mr. President|| years, comments, vision
Mr. President|| years, rabin, middle
Mr. Speaker|| state, timothy, liberty
Madam President|| man, civil, happen
Madam President|| session, record, navy
Mr. President|| prepared, states, student
Mr. President|| senate, president, unanimous
Mr. President|| desk, oregonians, chamber
<|endoftext|>|| rhode, amendment, senator
Mr. President|| business, president, order
Mr. Chairman|| increase, increases, year
<|endoftext|>|| offer, reasonable, yield
Mr. President|| sam, resources, secretary
Madam President|| important, thurmond, unanimous
Mr. Speaker|| intervention, support, ferguson
Mr. Speaker|| public, director, office
<|endoftext|>|| consume, afghanistan, vehicle
Mr. Speaker|| committee, billion, speaker
Mr. Speaker|| championship, years, studying
<|endoftext|>|| made, flowed, bill
Mr. Speaker|| neighbor, preexisting, today
Mr. Speaker|| motion, two-thirds, pro
Mr. Speaker|| percent, democratic, trade
Mr. President|| transitional, transition, georgia
Mr. President|| readiness, billion, requirement
Madam President|| madam, laid, place
<|endoftext|>|| fraud, waste, centers
Mr. Speaker|| human, people, jersey
Mr. President|| boehner, served, travel
<|endoftext|>|| passed, read, motion
<|endoftext|>|| security, solve, thing
Mr. Speaker|| syria, freedom, country
<|endoftext|>|| texas, chairman, expertise
Mr. Chair|| state, atmospheric, coastal
Mr. President|| minority, large, national
Mr. Speaker|| gold, world, honor
Mr. President|| department, precisely, talks
Mr. President|| estimate, president, correct
Mr. President|| surplus, funds, park
<|endoftext|>|| worry, trial, forward
<|endoftext|>|| lost, unemployment, guess
Mr. Speaker|| national, high, states
<|endoftext|>|| programs, bring, office
Mr. Speaker|| bill, voice, transportation
Mr. Chairman|| supportive, congregate, iowa
Mr. President|| national, guard, oregonians
Mr. Chairman|| forces, wars, united
Mr. Speaker|| rule, lobbyist, res
<|endoftext|>|| caucus, premiums, doctors
Mr. President|| unions, president, purposes
<|endoftext|>|| time, rates, bill
Mr. Speaker|| adult, produced, promising
Mr. Chairman|| district, program, federal
<|endoftext|>|| beautiful, department, socks
Mr. Speaker|| measure, problem, hurting
<|endoftext|>|| time, opportunity, flextime
<|endoftext|>|| year, talking, debt
Mr. Speaker and fellow Members of the House|| public, house, member
Mr. Speaker|| gentleman, earlier, referenced
Mr. Chairman|| states, associate, sisters
Mr. Speaker|| speaker, leagues, comet
Mr. Chairman|| inoperable, restoration, independence
<|endoftext|>|| afternoon, series, start
<|endoftext|>|| chair, dod, amendment
Mr. Speaker|| solar, renewable, credits
Mr. Chairman|| benefit, significant, state
Mr. President|| oversight, effectiveness, senate
Madam President|| murray, members, senators
Mr. Speaker|| critics, extra, good
Mr. Speaker|| extended, president, united
Mr. President|| urge, sanders, cutting
Mr. President|| biden, delegation, delaware
Madam Chairman|| national, united, legal
Mr. Speaker|| troops, years, africa
Mr. Chairman|| year, concurrent, caucus
Mr. Speaker|| politics, members, gallo
Mr. Speaker|| pro, days, revise
<|endoftext|>|| americans, jobs, happening
Mr. Speaker|| speaker, districts, robert
Mr. Chairman|| chairman, august, aircraft
Mr. Speaker|| international, relations, resources
Mr. Chairman|| programs, long-range, plan
Mr. Speaker|| upset, senate, speaker
<|endoftext|>|| transfer, report, year
Mr. Speaker|| keen, report, june
Mr. President|| democratic, democrats, conference
Mr. Chairman|| reason, million, chairman
Mr. Speaker|| electronic, rollcall, properly
<|endoftext|>|| standpoint, cleaned, hope
Mr. President|| colleagues, recognize, cecil
<|endoftext|>|| category, fall, carve
Mr. Speaker|| back, gentleman, motion
Madam President|| americans, partner, service
Mr. President|| commitments, united, dakota
<|endoftext|>|| emotional, side, difficult
Mr. Speaker|| california, eastern, cases
Madam President|| senate, motions, leader
<|endoftext|>|| hope, future, worthy
Mr. Speaker|| consolidated, act, congressman
Mr. President|| public, floor, bipartisan
Mr. President|| workforce, president, safety
Mr. Speaker|| acknowledgement, indian, bureau
<|endoftext|>|| year, testing, types
Mr. President|| afb, state, served
Mr. Speaker|| consent, legislative, pro
Mr. Chairman|| amendments, illinois, thereto
Mr. Speaker|| government, economic, bill
<|endoftext|>|| filibuster, realize, entered
<|endoftext|>|| carolina, financial, quote
Mr. Chairman|| outer, communities, friend
Mr. Chairman|| standards, chairman, expressed
Mr. Speaker|| jima, exceptional, veteran
Mr. Speaker|| diabetes, district, high
Mr. Speaker|| rules, concurrent, yield
Mr. President|| brian, affairs, banking
<|endoftext|>|| american, massa, lives
Mr. President|| eradicating, deserves, legislative
Mr. Speaker|| labor, regulations, rule
Mr. Chairman|| calls, refer, refresher
Mr. President|| year, program, work
Mr. Speaker|| consume, rural, yield
<|endoftext|>|| process, read, rules
Mr. President|| master, today, flagler
Mr. Speaker|| chairman, texas, adam
Mr. Speaker|| united, perform, denomination
Mr. President|| university, county, support
Mr. President|| company, labor, workers
Mr. President|| amendments, announcements, session
Mr. Speaker|| plan, federal, good
Madam Chairman|| system, america, amendment
Madam President|| nation, states, america
Mr. Chairman|| month, small, consume
Mr. Speaker|| lowery, platts, joseph
Mr. Speaker|| health, pages, bill
Mr. Speaker|| record, saddam, kuwait
Mr. Speaker|| burton, bill, gentleman
Mr. Speaker|| speak, speaker, credit
Mr. Speaker|| hardworking, minimum, republican
<|endoftext|>|| pocket, earlier, quote
Mr. President|| november, president, building
<|endoftext|>|| apply, original, barely
Mr. President|| balanced, budget, past
Mr. President|| extended, technical, resolution
<|endoftext|>|| request, bills, order
Mr. President|| senate, consent, authorized
Mr. President|| officials, illinois, industry
Mr. Speaker|| long, served, doctor
<|endoftext|>|| consecutive, game, oklahoma
<|endoftext|>|| san, serve, tribute
Mr. Speaker|| micra, bad, gentlewoman
<|endoftext|>|| lautenberg, amendment, asked
<|endoftext|>|| ohio, individual, ada
<|endoftext|>|| viable, work, funds
Mr. Chairman|| limitation, usgs, science
Mr. Chairman|| pentagon, budget, inventory
Mr. Speaker|| speaker, rhetoric, american
Mr. Chairman|| delays, members, gao
Mr. Chairman|| funding, breast, cancer
Mr. Speaker|| debt, bank, cole
Madam President|| return, senator, waiting
Mr. President|| respond, majority, senator
Mr. Speaker|| support, pleasant, chairman
Madam President|| senator, legislation, jobs
Mr. President|| provided, bill, president
<|endoftext|>|| military, armed, good
Mr. President|| hard, made, reason
<|endoftext|>|| drafting, rules, legislation
<|endoftext|>|| conversation, state, watching
Mr. President|| prescribed, respond, afghanistan
Mr. President|| coleman, rate, president
<|endoftext|>|| september, sonoma, stories
Madam President|| patient, ideas, mention
Mr. Speaker|| administration, energy, roof
Mr. President|| turn, explanation, senator
Mr. President|| wanted, senator, join
Mr. Speaker|| recognize, debt, budgeting
<|endoftext|>|| state, bush, programs
Madam Chair|| support, colleague, group
Mr. President|| real, listening, marched
Madam Speaker|| heritage, honor, association
Mr. Speaker|| tribute, nancy, mentoring
Madam Speaker|| protect, madam, speaker
Mr. Speaker|| county, yield, ferc
Mr. Speaker|| serve, longer, committee
Mr. Speaker|| yielding, speaker, technical
Mr. Speaker|| suffered, mack, outrage
Mr. Speaker|| administration, american, military
Madam Speaker|| called, congress, things
Mr. President|| act, heritage, billion
<|endoftext|>|| house, congress, washington
Mr. Speaker|| congress, speaker, appreciation
<|endoftext|>|| plea, intense, discussions
<|endoftext|>|| line, cynical, system
Mr. President|| legislation, share, similar
Mr. President|| penalty, oklahoma, act
Mr. Speaker|| rise, navy, honor
<|endoftext|>|| rules, friend, member
Mr. President|| convention, president, chemicals
Mr. Speaker|| government, today, families
Mr. Chairman|| committee, health, federal
<|endoftext|>|| substantially, effect, law
Mr. President|| kingdom, president, london
<|endoftext|>|| country, democratic, pension
Mr. Chairman|| america, message, american
Mr. President|| time, democratic, support
Mr. Speaker|| consideration, resolution, customary
<|endoftext|>|| colleague, funding, authority
Mr. President|| city, river, performances
Mr. Chairman|| subcommittee, gentleman, chairman
Mr. Speaker|| mexico, nafta, speaker
Mr. Chairman|| bill, reduction, act
Mr. Chair|| national, support, today
Mr. President|| important, epa, liability
Madam Speaker|| fly, part, ice
Mr. President|| clinton, hope, rate
Mr. President|| jobs, coming, americans
Mr. President|| three-quarters, program, kinds
Mr. Speaker|| endowment, americans, report
Mr. Speaker|| boys, ohio, straight
